text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
성별 갈라치기 갈등 조장은 국힘당과 정의당이 주도한 것 아닌가?,0.29,0.02,0.02,0.01,0.01,0.01,0.0,0.06,0.23,0.35
"2번 좆석이 무리 막는다고 절박재명 ⁶아묻따⁹ 지지하는게 맞나...? 무지성 여가부폐지원툴 지지하던 2번남표값은 떵값이 되었는디
.. 스윙보터 위치에서 표 흔들면서 최대한 뜯어내야하는거 아닌지 여튼 이번에 정의당은 여자표 다 털려서 개박살 날거같은데ㅋㅋㅋㅋㅋ....",0.65,0.02,0.02,0.02,0.01,0.02,0.01,0.05,0.24,0.13
"3각형, 3원색, 3분지계! 
세상을 가장 균형있고 조화롭게 만드는 숫자3
내일은 기호3번에 투표하여 변화하되 안정되는
내 삶을 만들어 보자!
과감하게! 용기있게! 소신있게!

#주4일제에_투표
#신노동법에_투표
#노동당당에_투표
#복지국가에_투표
#3월엔_3번
#정의당
#심상정
#일하는_시민의_대통령 https://t.co/g0QUx86kt7",0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.16,0.78
@sangjungsim 겨우 6명 국회의원을 가진 정의당에서 갑자기 대통령이 선출되는 것이 더 이상한거 아닌 가요??,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.02,0.34,0.45
과거의 정의당은 그랬죠. 우리 사회의 어젠더를 5년은 먼저 던져줬으니까. 지금의 정의당은? 손석희 사장 부임 전의 JTBC 뉴스 같다는 생각 저만인가요? https://t.co/OvqnIlzmDs,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.85
"심상정에게 단 한표도 주지마세요.
이번기회에 정의당은 없어저야합니다.
민주정부만 물고 늘어지는 정의당 심상정은 이제 그만 집으로 보내야합니다.",0.17,0.01,0.01,0.04,0.01,0.02,0.01,0.12,0.41,0.04
"정의당을 지지하는데, 이재명을 찍는다?
이건 ‘정신분열’이여.
좌파가 ‘정신분열’의 다른 이름은 아니잖어?
정의당을 지지하는 사람들은 정의당을 찍어라.",0.09,0.0,0.03,0.02,0.01,0.03,0.02,0.24,0.53,0.09
"심상정 정의당 대선후보가 제20대 대통령선거를 하루 앞둔 8일 저녁 서울 마포구 홍대 상상마당 앞에서 열린 피날레 유세에서 지지를 호소하고 있다. 

✔ 자세한 기사 보기 ▶ https://t.co/ctBz5HUtZ4",0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.08,0.88
누군가는 심상정에 실망했어도 비판할 정도는 아니라고 한다. 하지만 이번 대선에 진중권에 풀 베팅한 심상정의 시각을 보면 비판이 아니라 비난하고 싶다ㅡ. 정의당의 시각이 저 모습에서 변하지 않는다면 앞으로 정의당에 표를 다시 줄 날이 올런지 모르겠다. https://t.co/mEq5T5QozX,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.15,0.72
"이번 대선에서 심상정후보가 15%를 득표하면 15%만큼, 10%를 득표하면 10%만큼 
대한민국이 바뀌고 내 삶이 달라집니다!
과감하게! 용기있게! 소신있게!

#주4일제에_투표
#신노동법에_투표
#노동당당에_투표
#복지국가에_투표
#3월엔_3번
#정의당
#심상정
#기호3번
#일하는_시민의_대통령 https://t.co/ZjMcdMVz0d",0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.14,0.72
변희수 하사의 영정 앞에는 심상정이 있었습니다. 故 김용균을 잊지 않은 것은 심상정이었습니다. 다당제 제3의 정치는 심상정과 정의당이 지켜왔습니다. 저 심상정은 표가 떨어져도 페미니즘은 떨어뜨리지 않았습니다. 반응이 덜해도 기후위기의 경보를 울려왔습니다. https://t.co/a8RpfBrC7c,0.14,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.05,0.74
